cerealsNonPurchasedSelProduction	HH_All		true	Food_Staples_Cereals	Nutrition_All	Type_Expended	Source_NonPurchased_SelfProduction	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
fruitsVegPurchasedCash	HH_All		true	Food_FruitsVeg	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Cash	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
fruitsVegPurchasedCredit	HH_All		true	Food_FruitsVeg	Nutrition_All	Type_Expended	Source_Purchased	Purchase_Credit	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
fruitsVegNonPurchased	HH_All		true	Food_FruitsVeg	Nutrition_All	Type_Expended	Source_NonPurchased	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
fatsConsume7d	HH_All		true	Food_Fats	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
pulsesConsume7d	HH_All		true	Food_Pulses	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
dairyConsume7d	HH_All		true	Food_Dairy	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
sugarsConsume7d	HH_All		true	Food_Sugars	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
condimentsConsume7d	HH_All		true	Food_Condiments	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
vegConsume7d	HH_All		true	Food_FruitsVeg_Vegetables	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
vegDarkGreenConsume7d	HH_All		true	Food_FruitsVeg_Vegetables_VegDarkGreen	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
vegVitAConsume7d	HH_All		true	Food_FruitsVeg_Vegetables_VegVitA	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
fruitConsume7d	HH_All		true	Food_FruitsVeg_Fruits	Nutrition_All	Type_Consumed_7d	Source_All	Purchase_All	Col_Household,Col_ExpCon,Col_FoodNutrition	Ord_HHID_NOORD	Ord_CONEXP_NOORD
